Lien,Numéro Brevet,Titre,Date de publication,Mots-clés,Description,Domaine Technologique,Inventeurs,Titulaire du brevet,Statut du brevet,Résumé,Problème,Solution
https://patents.google.com/patent/US10318770B2,US10318770B2,RFID error detection systems and methods,2018-05-18,"embodiments,, systems, methods","
     In some embodiments, systems and methods are provided herein to improve RFID tag reading. Some embodiments provide retail RFID tag exclusion systems that comprise: a set of RFID antennas; an RFID criteria database of sets of RFID tag read criteria; and an RFID evaluation control circuit configured to: access a set of current tag read criteria associated with an RFID tag; access multiple sets of previous tag read criteria; access and apply a set of tag evaluation rules and identify when a threshold number of the set of current tag read criteria are each within corresponding criteria thresholds of a corresponding previous tag read criterion of a previous set of tag read criteria; and exclude the RFID tag when the threshold number of the current tag read criteria are within the corresponding criteria thresholds of the corresponding previous tag read criterion of the set of previous tag read criteria. 
   
   ",Télécommunications,"Nicholaus A. Jones, Matthew A. Jones, Aaron J. Vasgaard",Walmart Apollo LLC,Active,The patent describes an RFID tag exclusion system that improves RFID tag reading by evaluating current tag criteria against multiple previous sets of criteria using a database and threshold rules to exclude tags when a threshold number of current criteria meet corresponding previous criteria thresholds.,"Existing RFID systems may not adequately exclude RFID tags based on multiple previous criteria readings, leading to potential exclusion errors when only single or insufficient criteria are checked.","A retail RFID tag exclusion system is provided that includes: RFID antennas, an RFID criteria database storing sets of criteria, and an evaluation control circuit. The circuit compares current tag criteria against multiple previous sets using threshold rules, excluding tags only when a predefined number of current criteria are within corresponding thresholds of past criteria from the database."
https://patents.google.com/patent/US10318774B2,US10318774B2,"Housing, housing unit, and casing unit",2017-10-10,"housing, first, tubular, portion, being, tubular,, arranged","
     A housing includes a first tubular portion being tubular, arranged to extend along a central axis extending in a vertical direction, and having a first cavity defined radially inside of the first tubular portion; and a second tubular portion being tubular, connected to a lower portion of the first tubular portion directly or indirectly, and having a second cavity defined radially inside of the second tubular portion. The first cavity is arranged to define a light path along which the incoming light travels, and is connected to the second cavity. The second tubular portion is arranged to house at least a portion of the optical component therein. The first and second tubular portions are defined by a single monolithic member. 
   
   ",Autre,Yoichi Sekii,Nidec Corp,Expired - Fee Related,,,
https://patents.google.com/patent/US10318775B2,US10318775B2,Authenticable digital code and associated systems and methods,2017-06-22,"authenticable, digital, code, printable, medium,, machine-readable","
     An authenticable digital code includes a printable medium, a machine-readable digital code, formed on the printable medium, that graphically represent information, and at least one security signature positioned relative to the machine-readable digital code. The security signature includes a fluorescent material that, when excited by light of a first wavelength, fluoresces and emits light at a second wavelength that is different from the first wave length. Authenticity of the authenticable digital code is determined by detecting, when the authenticable digital code is illuminated by light of the first wavelength, light of the second wavelength at a position relative to the machine-readable digital code. 
   
   ",Sécurité,"David C. McCloskey, John Robert Blakely, Stanley R. James",Authentic Labs,Active,,,
https://patents.google.com/patent/US10318777B2,US10318777B2,Target options for a data capture device with intuitive aiming involving specular objects,2018-05-16,"presentation, scanner, allows, operator, easily, place","
     A presentation scanner allows an operator to easily place an object being scanned within the scanner's field of view in order to enhance usability of the scanner. A partially transmitting and partially reflecting surface, like a mirror, is used. An aiming pattern or target indicator is projected from an aiming source to the surface. The aiming pattern or target indicator is seen by an operator who aligns the object, which is reflected from the surface back to the operator, to be placed over or within the aiming pattern that appears at the surface. Once aligned, a camera captures the image of the optical code. 
   
   ",Intelligence Artificielle,Alexander M. McQueen,Datalogic USA Inc,Active,,,
https://patents.google.com/patent/US10318778B2,US10318778B2,Reducing perceived brightness of illumination light source in electro-optical readers that illuminate and read targets by image capture,2012-11-15,"Targets, electro-optically, read, by, image, capture, illuminated","
     Targets to be electro-optically read by image capture are illuminated with illumination light emitted from an illumination light source and directed along an illumination path through a window to the targets, and return light from the targets is captured through the window and projected along an imaging path to an array of light sensors of an imaging system. An optical element is located in both the illumination path and the imaging path, and has a light-reflecting, non-diffusing portion for directing the captured return light incident on the light-reflecting portion along a folded imaging path to the array, and a light-diffusing portion for diffusing the illumination light incident on the light-diffusing portion along a folded illumination path to scatter and blur an image of the illumination light source, to increase an apparent size of the illumination light source, and to reduce a perceived brightness of the illumination light source. 
   
   ",Autre,"Igor R. Vinogradov, Rong Liu, Yuly Mitelman, Eric S. Trongone",Symbol Technologies LLC,"Active, expires 2035-01-20","A patent describes an electro-optical system for image capture that uses an illumination light source directed through a window to illuminate targets. The returned light is captured and redirected using an optical element with a reflective portion that guides light to sensors and a diffusive portion that scatters illumination light to increase the apparent size of the source and reduce its perceived brightness, improving image quality.","The system addresses challenges in optical illumination, such as creating uniform coverage and managing brightness to enhance image capture accuracy by using combined reflection and diffusion techniques.","An optical element is designed with reflective and diffusive portions to redirect return light efficiently and scatter illumination light, increasing the source's apparent size while reducing brightness, thereby improving imaging performance."
https://patents.google.com/patent/US10318779B2,US10318779B2,"Systems and methods for robust protection of item authentication, tracking and tracing against tag duplication",2018-04-27,"Systems, methods, facilitating, tag, authenticity, validation., methods","
     Systems and methods for facilitating tag authenticity validation. The methods comprise: detecting a tag's arrival/presence at a waypoint along a supply chain path; obtaining a ChainStart Value and a first ChainEnd Value from the tag; generating a public key and a private key; transforming the first ChainEnd Value into a second ChainEnd Value using the private key; storing in a data store at least a hash of the ChainStart Value, a hash of the second ChainEnd Value, and the public key as a transaction record entry; causing the first ChainEnd Value of the tag to be replaced with the second ChainEnd Value; and validating the tag's authenticity at a second waypoint along the supply chain path using at least the ChainStart Value, the second ChainEnd Value, and the transaction record entry comprising the hash of the ChainStart Value, a hash of the first ChainEnd Value and the public key. 
   
   ",Télécommunications,Steven J. Raynesford,Sensormatic Electronics LLC,Active,,,
https://patents.google.com/patent/US10318781B2,US10318781B2,"Two dimensional barcode with dynamic environmental data system, method, and apparatus",2016-03-30,"Methods,, systems,, apparatus, combining, preprinted, information, together","
     Methods, systems, and apparatus for combining preprinted information together with coded sensor information within a two-dimensional barcode. The sensor information may be of an environmental, physical or biological nature, and records a change in status of the environmental or biological condition to which the labeled product has been exposed. A sensor dye chemistry is employed and when a specified condition of the sensed property occurs it causes a change in the color state of sensor dye modules embedded within the sensor-augmented two-dimensional barcode, encoding sensor digital information. Sensor information is recovered utilizing the error-correction feature during barcode reading. 
   
   ",Sécurité,"Thaddeus Prusik, Mohannad Abdo, Clive Hohberger",Lifelines Technology Inc,"Active, expires 2036-08-15",,,
https://patents.google.com/patent/US10318793B2,US10318793B2,Method for detecting fraud by pre-recorded image projection,2016-10-26,"invention, provides, method, detecting, fraud, (, 220","
     The invention provides a method for detecting fraud ( 220 ) during biometric authentication of an individual comprising the acquisition ( 210 ), by an optical device, of a sequence of candidate images comprising at least two candidate images of an individual, with view to comparing said sequence with a reference image sequence comprising at least one reference image of an individual acquired during a preliminary enrollment step ( 100 ) by the same optical device, the method comprising the steps of:
         estimating ( 221 ), from the sequence of candidate images, the geometrical parameters of the optical device having acquired said sequence of candidate images on the individual, and   comparing ( 222 ) said geometrical parameters with the geometrical parameters of the optical device having acquired the reference image sequence, and   from the result of the comparison, determining ( 223, 224 ) whether the verification image sequence was acquired from at least one pre-recorded image of the individual.       

   
   ",Télécommunications,Jean Beaudet,Idemia Identity and Security France SAS,"Active, expires 2037-01-20","The patent describes a fraud detection method for biometric authentication that compares candidate images acquired during verification to a reference image sequence from enrollment by analyzing geometrical parameters of the optical device, ensuring authenticity via parameter matching.",Fraudulent biometric authentication using pre-recorded or tampered images (spoofing) during verification steps.,"A method that estimates optical device parameters from candidate images and compares them to reference parameters from enrollment to verify image sequence authenticity, preventing fraudulent verification."
https://patents.google.com/patent/US10318794B2,US10318794B2,Intelligent auto cropping of digital images,2017-04-28,"Disclosed, examples, methods,, systems,, computing, devices,","
     Disclosed in some examples are methods, systems, computing devices, and machine readable mediums that provide for cropping systems that automatically crop digital images using one or more smart cropping techniques. Smart cropping techniques may include: cropping an image based upon emotion detection, cropping based upon facial recognition and matching, and cropping based upon landmark matching. In some examples, a single smart cropping technique may be utilized. In other examples, a combination of the smart cropping techniques may be utilized. 
   
   ",Autre,"David Benjamin Lee, Erez Kikin Gil",Microsoft Technology Licensing LLC,Active,"The patent describes automated image cropping systems that utilize smart cropping techniques, including emotion detection, facial recognition, and landmark matching, to intelligently crop digital images. These techniques can be used individually or combined to automatically adjust crop parameters based on image content. Examples include cropping based on detected emotions, faces, or landmarks, enabling efficient image optimization. ","Manual image cropping is time-consuming and requires subjective judgment, leading to inefficiency and inconsistencies.","Automated cropping using machine learning-based techniques (emotion, facial, landmark detection) to analyze images and adjust crops dynamically, improving speed and precision."
https://patents.google.com/patent/US10318796B2,US10318796B2,Age progression of subject facial image,2016-11-10,"Age, progression, test, facial, image, facilitated, by","
     Age progression of a test facial image is facilitated by compiling training data, including a training set(s) having selected initial images of subjects by gender and age-group. In addition, the age progression includes manipulating the training data, including: for a given age-group of a training set, substantially aligning respective face shapes; determining a common frame based on the aligned shapes; substantially aligning respective face appearances to generate a shape-free form corresponding to the face appearance of each subject, using the substantially aligned shapes to generate an age-specific shape-dictionary for each age-group, and a common shape-dictionary for the age-groups of the training set, and using the aligned appearances to generate at least an age-specific appearance-dictionary for each age-group, and a common appearance-dictionary for the age-groups of the training set. The age specific appearance dictionary for each age group and the common appearance dictionary facilitate age progression of the facial image. 
   
   ",Intelligence Artificielle,"Saritha Arunkumar, Nalini K. Ratha, Christos SAGONAS, Peter W. Waggett",International Business Machines Corp,"Expired - Fee Related, expires 2037-09-13","The patent describes a method to facilitate age progression in facial images by compiling training data from gender and age-group sorted initial images. It involves aligning face shapes and appearances to generate age-specific shape and appearance dictionaries, enabling systematic age progression. The method ensures consistent age progression by using aligned data to create dictionaries that track face shape and appearance changes across ages.","Creating age progression in facial images requires systematic manipulation of training data to align face shapes and appearances across different age groups, ensuring accurate and consistent aging effects.","The solution involves compiling training data, aligning faces within age groups, generating age-specific and common shape and appearance dictionaries, and using these dictionaries to enable systematic age progression by adjusting facial features based on predefined age-related changes."
https://patents.google.com/patent/US10318797B2,US10318797B2,Image processing apparatus and image processing method,2016-11-15,"aspects, invention, discloses","
     One of the aspects of the present invention discloses an image processing apparatus and an image processing method. The image processing apparatus comprises: an image acquisition unit configured to acquire an image containing a face; a region location unit configured to locate at least one region which represents attributes of the face in the acquired image; a feature extraction unit configured to extract features from the located regions; and a feature integration unit configured to integrate the features of the located regions which are symmetrical with each other based on symmetry of the face. According to the present invention, the dimension of the features used for image processing could be reduced and the image processing accuracy could be maintained as much as possible. 
   
   ",Télécommunications,"Donghui Sun, Xian Li, Dongchao Wen",Canon Inc,"Active, expires 2037-11-30","The invention describes an image processing apparatus and method designed to reduce feature dimensions while maintaining processing accuracy for face images. It uses symmetrical face attribute regions to integrate features, optimizing computational efficiency without compromising image analysis quality.","Efficiently processing face images to reduce feature dimensions while preserving accuracy, which is critical for real-time applications requiring both speed and precision.","The apparatus integrates symmetrical face feature regions using specialized units for region location, feature extraction, and symmetry-based integration, minimizing feature count while maintaining accuracy."
https://patents.google.com/patent/US10318798B2,US10318798B2,Device and method for detecting non-visible content in a non-contact manner,2015-07-10,"method, device, detecting, non-visible, content","
     A method and device are provided for detecting non-visible content of an object in a non-contact manner. The device includes a light source configured to emit light toward a surface of an object over a period of time. The device also includes an optical sensing component configured to receive a pattern of light from the surface of the object, and to record the received pattern at plural points in time. In addition, the device includes a processing component configured to determine temporal changes in the pattern during the plural points in time, and to detect whether motion is present in the object based on determined temporal changes in the pattern, where the motion represents a frequency source of non-visible content in the object. 
   
   ",Autre,"Zigurts K. MAJUMDAR, Paul C. D'ANGIO, Michael A. PAPAZOGLOU, Allan STEINHARDT, Christopher Hutchens",Booz Allen Hamilton Inc,"Active, expires 2037-03-27",,,
https://patents.google.com/patent/US10318799B2,US10318799B2,Method of predicting an interest of a user and a system thereof,2017-03-31,"disclosure, discloses, method, predicting, interest","
     The present disclosure discloses a method of predicting an interest of a user and a system thereof. The method comprises receiving, by the system, a first set of inputs related to the user from a first set of sensors, where one or more features of the user are extracted from the first set of inputs. The method further comprises receiving a second set of inputs related to an environment around the user from a second set of sensors, assigning weights to each input among the first set of inputs, identifying a user behavior associated with each of the one or more features of the user and predicting the interest of the user by correlating the user behavior associated with each of the one or more features of the first set of inputs and the weights assigned to each input among the first set of inputs, thus increasing accuracy of prediction. 
   
   ",Télécommunications,Saurabh Ramchandrarao Kulkarni,Wipro Ltd,"Active, expires 2037-05-12","The patent describes a method for predicting user interest by combining inputs from two sets of sensors (user-related and environment-related). Features are extracted from user inputs, assigned weights, and correlated with user behaviors to improve prediction accuracy. The system integrates sensor data and behavioral analysis to refine predictions.","Accurately predicting user interest often requires considering both user characteristics and environmental context, which can be challenging with traditional methods that may not effectively integrate these factors.","The method addresses this by creating a weighted correlation between user features (from sensors) and their behaviors, combined with environmental data, to enhance prediction accuracy."
https://patents.google.com/patent/US10318800B2,US10318800B2,Gesture detection and recognition method and system,2016-06-13,"Disclosed, gesture, detection, recognition, method, system.","
     Disclosed are a gesture detection and recognition method and system. The gesture detection and recognition method comprises: acquiring and storing an image; adopting a plurality of pre-set classifiers for deleting different gestures to detect each frame of the image according to a pre-set sequence in a frame alternating manner to acquire a gesture target; establishing a skin color model based on the pixel distribution of the region of the gesture target; and acquiring gesture frequencies of the gesture target in a previous state and a later state according to the skin color model, and matching the gesture frequencies with a pre-set gesture state, so that a gesture change state is obtained and output. The gesture detection and recognition method and extract a skin color under specific scene, and can gradually eliminate the influence generated by acute illumination changes, thus realizing the purpose of extracting a gesture change state. 
   
   ",Télécommunications,Hongxin Zhang,Yutou Technology Hangzhou Co Ltd,Active,"The patent describes a gesture detection and recognition method that uses pre-set classifiers to frame-by-frame gesture deletion, establishes a skin color model based on pixel distribution, and matches gesture frequencies to detect changes in skin color under varying lighting conditions. This approach aims to minimize the impact of acute illumination changes on gesture recognition accuracy.","Existing gesture detection systems struggle with varying lighting conditions, leading to errors in skin color-based gesture recognition due to acute illumination changes.","A gesture detection method that incorporates piel skin color modeling, frame-by-frame gesture deletion using classifiers, and comparison of gesture frequencies under different lighting states to determine gesture changes, improving accuracy and robustness against illumination fluctuations."
https://patents.google.com/patent/US10318801B2,US10318801B2,Image processing apparatus and non-transitory computer readable medium,2017-04-21,"image, processing, apparatus, first, extraction, unit,","
     An image processing apparatus includes a first extraction unit, a second extraction unit, and a third extraction unit. The first extraction unit extracts a first area in an image that includes plural document images, the first area having low-frequency characteristics. The second extraction unit extracts a second area in the image, the second area having high-frequency characteristics. The third extraction unit extracts areas of the document images by combining the first area and the second area in accordance with whether a background of the image is white. 
   
   ",Télécommunications,Masakazu FUKUNAGA,Fujifilm Business Innovation Corp,"Active, expires 2037-08-04","An image processing apparatus extracts document areas from images using three extraction units: the first extracts low-frequency document regions, the second extracts high-frequency regions, and the third combines them based on background whiteness to isolate documents.","The apparatus addresses the challenge of accurately separating document images from their backgrounds, which may contain noise or varying frequency characteristics.","By combining low-frequency (document) and high-frequency (noise) regions while adapting to white backgrounds, the system improves document extraction by dynamically adjusting extraction parameters based on image context."
https://patents.google.com/patent/US10318802B2,US10318802B2,Worn banknote identification method and ATM using the same,2017-07-24,"disclosure, relates, worn, banknote, identification, method","
     The present disclosure relates to a worn banknote identification method and an ATM (Automated Teller Machine) using the same, and more particularly, to a worn banknote identification method which acquires an image of a banknote inserted into an ATM, divides pixels of the acquired banknote image into a bright region and dark region depending on a brightness distribution of the banknote image, determines the wear level of the banknote by comparing a difference between the average brightness values of the two regions to a preset reference value, and separately stores the inserted banknote into a reject box depending on the wear level of the banknote, and an ATM using the same. 
   
   ",Autre,"Eui Sun Choi, Yoon Kill BAEK, Sang Wook BAEK, Sang Hun Lee, Chul Hee Lee","Industry Academic Cooperation Foundation of Yonsei University, Hyosung TNS Inc","Active, expires 2037-08-11","The patent describes a method for identifying worn banknotes by acquiring an image of a banknote inserted into an ATM, dividing the image into bright and dark regions based on brightness, and determining wear level by comparing the average brightness difference of these regions to a preset reference value. The ATM uses this method to store worn notes in a reject box. The solution integrates image analysis with brightness metrics to assess banknote condition automatically.",Worn banknotes can cause damage or security issues in ATMs and banking systems. The method addresses how to efficiently detect and automatically handle such notes to prevent errors or fraud.,"A wear-level-dependent banknote identification system that captures an image of an inserted note, measures brightness differences between regions to determine wear, and uses the result to decide whether to reject the note. The ATM automatically applies this method to filter worn notes."
